,,
,,
Catalog #     ,Material Description            ,UPC#
35068,"SPRING, COMPRESSION PKG 2",095691350688
35070,"HANDGRIP, ASM 2S",095691350701
35072,"WASHER, 3/4 X .388 X 1/4",095691350725
35073,"PIN, SPRING PKG 2",095691350732
35077,"BOLT, SHOULDER 3/8-16 X 2",095691350770
35078,"SPACER, PPC PRESSFRAME PKG 2",095691350787
35082,"EYEBOLT, 3/8-16 UNC 2A",095691350824
35083,"SPRING, EXTENTION PKG 2",095691350831
35088,"PIN,SPLIT ROLL .125X.313 PKG 4",095691350886
35090,"CONE, REAMER 3",095691350909
35092,PKG OF 2 O-RINGS .546ID X.14TH,095691350923
35093,"RING, SPIRAL RETAINING PKG 4",095691350930
35097,"TRAY, DRAW 1822",095691350978
35100R,"RING, DRIVE 3 REAMER",095691351005
35103,"CABLE,PUSH 200FT ONE SFTY CBL",095691351036
35107,PKG OF 4 SQUARE WASHERS,095691351074
35108,"CABLE,PUSH 325FT ONE SFTY CBL",095691351081
35112,"LINE, OIL INTAKE 30""",095691351128
35115,"HANDGRIP, 3 REAMER",095691351159
35117,PKG OF 4 OIL LINE INSERTS,095691351173
35122,"FITTING, 90 DEG",095691351227
35127,"PUMP, OIL 1822",095691351272
35132,"GEAR, PUMP 50HZ 26T UNIV",095691351326
35135,"CONE, REAMER",095691351357
35137,"TUBE, OIL OUTLET 40""",095691351371
35138,"REEL, MICROREEL L100 230V SS",095691351388
35140,PKG OF 5 SCREWS,095691351401
35142,"CLAMP, HOSE 3/8 OD",095691351425
35145,"HEAD, RATCHET 254",095691351456
35147,"CARRIAGE, HANDWHEEL 1822",095691351470
35150,"HANDGRIP, REAMER 254",095691351500
35155,"TOOL, DEBURRING 72",095691351555
35162R,PKG OF 2 RAIL PLUGS 1822,095691351623
35167R,"RAIL, FRONT 1822",095691351678
35170,"BENDER, 358 5/8 OD RATCHET",095691351708
35175,"BENDER, 368 3/4 OD RATCHET",095691351753
35178R,"CORD, RCA TO BNC",095691351784
35180R,"BENDER, 378 7/8 OD RATCHET",095691351807
35182R,"HANDWHEEL,300 COMPACT/1233",095691351821
35187,"SHAFT, PINION IDLER 1822",095691351876
35192R,"SCREEN, LOWER 1822",095691351920
35197,"GEAR, PUMP 60HZ 24T",095691351975
35202R,"SCREW, SQUARE HEAD 1/2-13 X 1-",095691352026
35207,U-BOLT,095691352071
35212,"WRENCH, HEX T-HANDLE",095691352125
35215,"BENDER, 1/2 TW COND",095691352156
35217,PKG OF 3 BUTTON HD SCREW,095691352170
35220,"BENDER, 3/4 TW COND",095691352200
35222,PKG OF 5 POP RIVETS,095691352224
35225,"BENDER, 1"" TW COND",095691352255
35227,"WIRE, GROUND F/FAN",095691352279
35228,"DRUM,  MICROREEL L100 230V",095691352286
35230,"BENDER, 1/2 HW COND",095691352309
35233,"PLUG, CIRCUIT BREAKER",095691352330
35235,"BENDER, 1/2-3/4 HW",095691352354
35237,"CONNECTOR, WIRE",095691352378
35240,"BENDER, 1-1 1/4 HW",095691352408
35243,"DRUM, MICROREEL L100C 115V",095691352439
35245,PKG 6: D1375 1/4 SPRING BENDER,095691352453
35247,"SCREW, 8-32 X 2-1/4",095691352477
35248,"DRUM, MICROREEL L100C 230V",095691352484
35250,PKG 6:D1376 5/16 SPRING BENDER,095691352507
35252,GROMMET,095691352521
35255R,PKG 6: D1377 3/8 SPRING BENDER,095691352552
35257,"RETAINER, WIRE",095691352576
35260,PKG 6:D1378 7/16 SPRING BENDER,095691352606
35265,PKG 6: D1379 1/2 SPRING BENDER,095691352651
35268,"PLUG, SEALING M10 X 1",095691352682
35270,PKG 6: D1380 5/8 SPRING BENDER,095691352705
35272,PKG OF 2 FLAT WASHERS,095691352729
35275,PKG 6: D1381 3/4 SPRING BENDER,095691352750
35277,"NOZZLE, ASM COOLANT",095691352774
35280,PKG 6: D1382 7/8 SPRING BENDER,095691352804
35282,"COLLAR, ASM",095691352828
35285R,SET OF BENDERS 1/4-5/8,095691352859
35290,SET OF BENDERS 1/4-7/8,095691352903
35302R,PKG OF 5 8-32 X 1/2 SHC,095691353023
35307,SET OF OIL PRESSURE RELIEFS,095691353078
35315,"HANDLE, ASM FORM 358",095691353153
35320R,"HANDLE, RATCHET 358",095691353207
35325,"ARM, ASM DRIVE 358",095691353252
35328,"SHROUD, FAN",095691353283
35330,"ARM, SWINGING 358",095691353306
35333,"STRAP, MICRODRAIN SHOULDER",095691353337
35335,"BACKPLATE, 358",095691353351
35337,"ARMATURE, 48V",095691353375
35338,"GUIDE, MICROREEL (2PK) BALL",095691353382
35340,"LATCH, 358",095691353405
35343,"JAW, 2"" PUREFLOW",095691353436
35345R,"ROLL, W/SHAFT 358",095691353450
35348,"SET OF,SIDE LATCHES",095691353481
35350,"SPRING, COMP .470 OD X .31 LG",095691353504
35353,"CLIP,PKG OF 4",095691353535
35355,"PIN, SPLIT ROLL .312 X 1.50",095691353559
35358,"LABEL,MICRODRAIN FRONT CASE",095691353580
35360,"PIN, RELEASE 358",095691353603
35362,"SPRING, COMP 1.05 OD X 1.40 LG",095691353627
35363,"LABEL, REAR CASE",095691353634
35365,PKG OF 4 SPRINGS,095691353658
35368,"GUIDE,CABLE",095691353689
35370,"SPRING, COMP .281 OD X .66 LG",095691353702
35373,"BAR, PUSHROD WEAR",095691353733
35375,"PAWL, RATCHET 358",095691353757
35378,"BASE,CAMERA CLAMP",095691353788
35380,"PINION, 358",095691353801
35385,"PIN, PINION 358",095691353856
35388,"SPRING,CLAMP HOOK",095691353887
35390,"PIN, PIVOT 358",095691353900
35393,"GUIDE,INTERCONNECT CABLE",095691353931
35395,"PAWL, HOLDING 358",095691353955
35398,"NUT,HEX PKG OF 4",095691353986
35400R,"PIN, PAWL HOLDING 358",095691354006
35403,"BRACKET, LEFT SHOULDER STRAP",095691354037
35405,"SPACER, HOLDING PAWL 358",095691354051
35408,"BRACKET, RIGHT SHOULDER STRAP",095691354082
35410,"SPRING, PAWL 358",095691354105
35413,"PKG OF 2, CORD WRAP",095691354136
35415,"HANDLE, ASM FORM 368",095691354150
35418,"PKG OF,2 CABLE HOOKS",095691354181
35420,"LATCH, 368",095691354204
35423,"PKG OF,2 CORD WRAP FEET",095691354235
35425,"ROLL, W/SHAFT 368",095691354259
35428,"PKG OF,2 CORD WRAP FEET RET.",095691354280
35430R,"HANDLE, ASM FORM 378",095691354303
35433,"PKG OF,4 #6-32 X 3 SCREWS",095691354334
35435,"HANDLE, RATCHET 378",095691354358
35438,"ASSEMBLY, MICRODRAIN HOUSING",095691354389
35440,"ARM, ASM DRIVE 378",095691354402
35445,"LATCH, 378",095691354457
35450,"ARM, SWINGING 378",095691354501
35455R,BACKPLATE,095691354556
35460,"ROLL, W/SHAFT 378",095691354600
35465,"PIN, SPLIT ROLL .312 X 2.25",095691354655
35470,"PIN, RELEASE 368/378",095691354709
35473,"DRAIN CLEANER, K-45 AF",095691354730
35475,"SPRING, COMP .524 OD X .72 LG",095691354754
35478,CASTER,095691354785
35480,"PAWL, RATCHET 368/378",095691354808
35483,"WHEELS, REAR",095691354839
35485,"PINION, 368/378",095691354853
35488,"CLIP, LEFT WAND",095691354884
35490,"PIN, PINION 368/378",095691354907
35493,"CLIP, RIGHT WAND",095691354938
35495,"PIN, PIVOT 368/378",095691354952
35500,"PAWL, HOLDING 368/378",095691355003
35503,LID,095691355034
35505,"PIN, PAWL HOLDING 378",095691355058
35508,"HANDLE, PULL",095691355089
35510,"SPRING, COMP .250 OD X .84 LG",095691355102
35511,KJ-1590 II,095691355119
35515,PKG OF 5 WASHERS,095691355157
35520,PKG OF 5 WASHERS,095691355201
35523,"ASSEMBLY, POWER HEAD",095691355232
35530,PKG OF 5 WASHERS,095691355300
35533,"BAG, CASTER & HDWR",095691355331
35535,"EXTRACTOR, 1 SCREW W/TURNUT",095691355355
35540,"EXTRACTOR, 2 SCREW W/TURNUT",095691355409
35543,"PKG OF,2 MAGNETS",095691355430
35545,"EXTRACTOR, 3 SCREW W/TURNUT",095691355454
35548,"SCREW,PKG OF 4 4-20 X 5/16",095691355485
35550,"EXTRACTOR, 4 SCREW W/TURNUT",095691355508
35553,"RETAINER,SLIP RING",095691355539
35555,"EXTRACTOR, 5 SCREW W/TURNUT",095691355553
35558,"COVER,SLIP RING CONTACT",095691355584
35560,"EXTRACTOR, 6 SCREW",095691355607
35563,"FLANGE, SLIP RING",095691355638
35565,"EXTRACTOR, 7 SCREW",095691355652
35568,"PKG OF, 3 CONTACT PINS",095691355683
35570,"EXTRACTOR, 8 SCREW",095691355706
35573,"PKG OF,6 CONTACT PIN SPRINGS",095691355737
35575,"EXTRACTOR, SET 3 SCREW",095691355751
35578,"ASSEMBLY,SLIP RING PCB",095691355782
35580,"EXTRACTOR, SET SCREW",095691355805
35583,"DRUM, ONLY 30FT MDRN/NANO",095691355836
35585,"EXTRACTOR, SET 10 SCREW",095691355850
35588,"GASKET,CONNECTOR",095691355881
35590,"EXTRACTOR, SET 25",095691355904
35593,"HUB,MOUNT",095691355935
35595,"EXTRACTOR, 80 PIPE",095691355959
35598,"ASSEMBLY,SLIP RING (DRUM SIDE)",095691355980
35600R,"EXTRACTOR, 81 PIPE",095691356000
35603R,"ASSEMBLY,MAIN MICRODRAIN PCB",095691356031
35605,"EXTRACTOR, 82 PIPE",095691356055
35608,"O-RING, PKG OF 4",095691356086
35610,"EXTRACTOR, 83 PIPE",095691356109
35615,"EXTRACTOR, 84 PIPE",095691356154
35618,O-RING,095691356185
35620,"EXTRACTOR, 85 PIPE",095691356208
35623,"DRUM,MICRODRAIN",095691356239
35625,"EXTRACTOR, 86 PIPE",095691356253
35628,"RETAINER,HUB",095691356284
35630,"EXTRACTOR, 87 PIPE",095691356307
35633,"CONE,HUB",095691356338
35635,"EXTRACTOR, 89 PIPE",095691356352
35640,"EXTRACTOR, 83E HD PIPE",095691356406
35643,"GASKET,DRUM HUB",095691356437
35645,"EXTRACTOR, 84E HD PIPE",095691356451
35648,"PKG OF,HEX NUTS (4)",095691356482
35650,"EXTRACTOR, 85E HD",095691356505
35653,"SHIELD,HUB",095691356536
35655,"EXTRACTOR, 86E HD PIPE",095691356550
35658,"RETAINER,PUSH CABLE",095691356581
35660R,"EXTRACTOR, 87E HD PIPE",095691356604
35663,"SCREW,PKG OF 4 #6 X 5/8""",095691356635
35665,"EXTRACTOR, 89E HD PIPE",095691356659
35670,"EXTRACTOR, SET 880 PIPE",095691356703
35675,"EXTRACTOR, SET 881 PIPE",095691356758
35680,"EXTRACTOR, SET 882 PIPE",095691356802
35685,"EXTRACTOR, SET 883 PIPE",095691356857
35693,"FOOT,RIGHT",095691356932
35695,"BOX, PLASTIC 10 SET",095691356956
35698,"FOOT,LEFT",095691356987
35700,"BOX, EXTRACTOR 25 RIDGID",095691357007
35703,"PIN,HINGE",095691357038
35710,"PACKET, 882",095691357106
35715R,"PACKET, 883",095691357151
35720R,"DRILL, #1 HS 1/8",095691357205
35725,"DRILL, #2 HS 3/16",095691357250
35730R,"DRILL, #3 HS 1/4",095691357304
35735,"DRILL, #4 HS 5/16",095691357359
35740,"DRILL, #5 HS 11/32",095691357403
35745,"DRILL, #6 HS 7/16",095691357458
35750R,"DRILL, #7 HS 1/2",095691357502
35755,"DRILL, #8 HS 5/8",095691357557
35760,"DRILL, #36 HS 1/4",095691357601
35765,"GUIDE, DRILL 921",095691357656
35770,"GUIDE, DRILL 1021",095691357700
35775,"GUIDE, DRILL 1121",095691357755
35780,"GUIDE, DRILL 1221",095691357809
35785,"GUIDE, DRILL 1321",095691357854
35790,"GUIDE, DRILL 1421",095691357908
35795,"GUIDE, DRILL 1521",095691357953
35800,"GUIDE, DRILL 1621",095691358004
35805,"GUIDE, DRILL 1721",095691358059
35810,"GUIDE, DRILL 1821",095691358103
35811,"DIES, GOLD HS 2-1/2 - 3 BSPT",095691358110
35815,"TAP, 1/8 NPT E5112",095691358158
35820,"TAP, 1/4 NPT E5113",095691358202
35825,"TAP, 3/8 NPT E5114",095691358257
35828,"CIRCUIT BOARD, DVDPAK/BASE",095691358288
35830,"TAP, 1/2 NPT E5115",095691358301
35835,"TAP, 3/4 NPT E5116",095691358356
35840,"TAP, 1"" NPT E5117",095691358400
35845,"TAP, 1-1/4 NPT E5118",095691358455
35846,"SET OF 9"" HEX WRENCHES",095691358462
35850,"TAP, 1-1/2 NPT E5119",095691358509
35853,"HEAD,MICRODRN CAM W/SNDE NTSC",095691358530
35855,"TAP, 2"" NPT E5120",095691358554
35867,"ADAPTOR, 839 F/819 NC",095691358677
35878,"STOP, BALL",095691358783
35883,"SPRING,MICRODRAIN CAMERA",095691358837
35888,"CABLE,MICRODRAIN SAFETY",095691358882
35912R,"SPRING, COMP .188 OD X .27 LG",095691359124
35913,"SHELL,MICRODRAIN SPRING",095691359131
35918,"PKG OF,4 SET SCREWS 4-40 X 1/8",095691359186
35928,"PLUG,WIRE",095691359285
35933,"CLAMP,SEALING",095691359339
35943,"KIT,REPAIR",095691359438
35980R,"PIN, BLADE 1200",095691359803
35982,"SCREW, SHOULDER",095691359827
35987,"SCREW, SOC HD SET",095691359872
35992,"PIN, SPLIT ROLL .250 X 1.25",095691359926
35997,"PIN, CAM LEVER",095691359971
35998,"DRAIN CLEANER, K-45 AF-1 120V",095691359988
36002,BALL,095691360021
36003,"DRAIN CLEANER, K-45 AF-5 120V",095691360038
36005,"TOOL, SIZING 575 1/2-3/4",095691360052
36007,"SCREW, SET 65RTC",095691360076
36008,"DRAIN CLEANER, K-45 AF-7 120V",095691360083
36012,"SPRING, COMP .359 OD X .75 LG",095691360120
36013,"DRAIN CLEANER, K-45-1 120V MAN",095691360137
36017,"PIN, STOP 65RTC",095691360175
36018,"DRAIN CLEANER, K-45 120V MAN",095691360182
36023,"DRAIN CLEANER, K-45-5 120V MAN",095691360236
36027,"PIN, W/CLIP 161",095691360274
36028,"DRAIN CLEANER, K-45-7 120V MAN",095691360281
36032,"SCREW, 1/2-13 X 7/8 SET",095691360328
36033,"DRAIN CLEANER, K-45AF 220-240V",095691360335
36037,"SCREW, 3/8-24 X 1/4 FH",095691360373
36038,"DRAIN CLEANER, K-45AF1 220-240",095691360380
36042,"SCREW, 1/4-20 X 5/8 NYLOK SHC",095691360427
36043,"DRAIN CLEANER, K-45AF5 220-240",095691360434
36047,"PIN, FEEDSCREW",095691360472
36048,"DRAIN CLEANER, K-45 220-240V M",095691360489
36052,"NUT, HEX STOP 1/4-20",095691360526
36053,"DRAIN CLEANER, K-45-1 220-240V",095691360533
36057,"PIN, SPLIT ROLL .125 X 1.12",095691360571
36058,"DRAIN CLEANER, K-45-5 220-240V",095691360588
36062,"WASHER, STOP",095691360625
36082,"SPACER, PIPE SUPPORT",095691360823
36087,"PIN, SPLIT ROLL .219 X 1.0",095691360878
36092,"BENDER, 405/408M TUBE",095691360922
36097,"BENDER, 406 TUBE",095691360977
36102,"BENDER, 410M TUBE",095691361028
36112,"BENDER, 406M TUBE",095691361127
36117,"BENDER, 403 TUBE",095691361172
36122,"BENDER, 404 TUBE",095691361226
36127,"BENDER, 412M TUBE",095691361271
36132,"BENDER, 408 TUBE",095691361325
36148,"ASSEMBLY,CNT PLUS MAG&CARRIER",095691361486
36152,"LINE, OIL SUPPLY 3.3""",095691361523
36158,"LASER, MICRO LM-100",095691361585
36162,"LINE, OIL SUPPLY 7.4""",095691361622
36163,"GAS SNIFFER, MICRO CD-100",095691361639
36167,"VALVE, 3-WAY",095691361677
36177,SADDLE,095691361776
36182,"LINK, CONNECTING",095691361820
36187,"BAR, DRIVE",095691361875
36188,"VAC, 14 GAL WET/DRY 230 VOLT",095691361882
36192,"SPRING, TORSION 2.82OD X .92LG",095691361929
36197,"CAP, END",095691361974
36208,"COVER,PRESSURE SWITCH OF45150B",095691362087
36218,"ASSEMBLY,MICROREEL COIL CORD",095691362186
36223,"CONNECTOR, PKG OF 10",095691362230
36247,"ADAPTOR, HOLE 1822",095691362476
36248,"LEVEL, 5-VIAL ULTRA MAG TORP",095691362483
36253,"LEVEL, 5-VIAL LASER",095691362537
36262,"SCREW, 3/8 X 5/8 SHOULDER",095691362629
36267,"PIN, PIVOT 1822",095691362674
36268,"BLADE, P-TEC",095691362681
36272,"ARM, REAMER 1822",095691362728
36273,"VISE, 460-6 TRISTAND CHAIN",095691362735
36277,"CONE, REAMER",095691362773
36278,"VISE, 460-12 TRISTAND CHAIN",095691362780
36282R,"HOUSING, WHEEL",095691362827
36283,"ASSEMBLY,ANTENNA MAST W/BOARD",095691362834
36287,"HANDLE, FEEDSCREW 1822",095691362872
36322,AXLE,095691363220
36333,"SCREW,LH",095691363336
36338,"WASHER,STAR",095691363381
36343,BEARING,095691363435
36345,"THREADER, 00R 1/2-1 NPT",095691363459
36348,"HOUSING,GEAR",095691363480
36353,"HOUSING,SET",095691363534
36355,"THREADER, 00R 3/8-1 NPT",095691363558
36358,"SCREW, M4 X 25",095691363589
36363,"SCREW, M4 X 41",095691363633
36368,"SET,BRUSH WIRE",095691363688
36373,"SET,BRUSH",095691363732
36375,"THREADER, 00R 1/8-1 NPT",095691363756
36378,"LEVER,SWITCH",095691363787
36383,SWITCH,095691363831
36387,PKG OF 2 ROLL PINS,095691363879
36388,"CAPACITOR,230V",095691363886
36390,"THREADER, 11R 1/2- 1-1/4 NPT",095691363909
36393,"BEARING,NEEDLE",095691363930
36398,WASHER,095691363985
36403,"GEAR,INTERMEDIATE",095691364036
36408,"GEAR,SPINDLE",095691364081
36413,"BEARING,NEEDLE",095691364135
36418,"PLATE,BEARING",095691364180
36423,GASKET,095691364234
36428,BEARING,095691364289
36433,"ARMATURE,115V",095691364333
36438,"ARMATURE,230V",095691364388
36443,BEARING,095691364432
36447,TUBE,095691364470
36448,"FIELD,115V",095691364487
36453,"FIELD,230V",095691364531
36458,"SET,LEAD WIRE",095691364586
36463,SCREW,095691364630
36468,SCREW,095691364685
36473,"CLAMP,CORD",095691364739
36475,"THREADER, 12R 1/2-2 NPT",095691364753
36478,"LINECORD,115V",095691364784
36480,"THREADER, 12R 1/2- 1-1/4 NPT",095691364807
36482,"CORD, CONNECTING 220V 50HZ GS",095691364821
36483,"LINECORD,230V",095691364838
36487,"CORD, CONNECTING 110V 50HZ",095691364876
36488R,"POWER UNIT,K45 115V",095691364883
36493,"POWER UNIT, K45 230V",095691364937
36498,"GUARD, DRUM",095691364982
36502,SUPPRESSOR,095691365026
36503,"LABEL, WARNING",095691365033
36505,"THREADER, 12R 1/8-2 NPT",095691365057
36508R,"SCREW,PKG OF 4 2-56 X 1/8",095691365088
36510,"THREADER, 12R 1/2-2 NPSM",095691365101
36518,"BENDER, 3/8""-2"" TIP-UP",095691365187
36523,"BENDER, 3/8""-3"" TIP-UP",095691365231
36540,"THREADER, 31A NPT",095691365408
36550,"THREADER, 31A NPT HS",095691365507
36555,"THREADER, 31A NPT HS SS",095691365552
36558,"CHARGER, TC40 (USA)",095691365583
36560,"THREADER, 31A NPSM",095691365606
36565,"THREADER, 65RC NPT",095691365651
36568,"HEAD, MICROREEL CAMERA 115V",095691365682
36570,"THREADER, 65RTC NPT",095691365705
36573,"HEAD,MICROREEL CAMERA 230V",095691365736
36592,"CUTTER, 153P TUBING F/PLASTIC",095691365927
36597,"CUTTER, 153 TUBING",095691365972
36612,"PLATE, WARNING",095691366122
36620,"THREADER, 141 NPT",095691366207
36630,"THREADER, 161 NPT",095691366306
36642,"FOOTSWITCH, ASM",095691366429
36647,"FOOTSWITCH, ASM",095691366474
36652,"FOOTSWITCH, ASM",095691366528
36657,"FOOTSWITCH, ASM",095691366573
36662,"FOOTSWITCH, ASM 301A",095691366627
36667,"DECAL, WARNING",095691366672
36673,"BLADE, TC40 REPLACEMENT (USA)",095691366733
36677,"DECAL, WARNING",095691366771
36680,"THREADER, 00RB 1/4-1 NC BOLT",095691366801
36690R,"THREADER, 00RB 1/4-1 NF BOLT",095691366900
36692R,"COVER, FOOTSWITCH",095691366924
36693R,"CABLE,MICROREEL SAFETY",095691366931
36697R,"PEDAL, FOOT",095691366979
36702,"SPRING, FOOT PEDAL",095691367020
36712,"CORD, B295",095691367129
36713,"ASSEMBLY, MICROREEL PUSH CABLE",095691367136
36717,"LINECORD, B296",095691367174
36718,"DRUM,MICRODRAIN W/ELECTRONICS",095691367181
36722,"CORD, B297",095691367228
36727,"CORD, 301A",095691367273
36732,"CONNECTOR, CORD",095691367327
36747,"PIN, PIVOT",095691367471
36758,"ADAPTER, CA-350 AC POWER",095691367587
36762,"SWITCH, MICRO FOOTSWITCH",095691367624
36767,"O-RING, .36 ID X .07 THK",095691367679
36772,POPPET,095691367723
36787,PKG OF 5 SCREWS,095691367877
36792,"LINECORD, B296",095691367921
36797,"CORD, B297",095691367976
36798,"THERMOMETER, MICRO IR-200",095691367983
36813,"LASER, MICRO LM-400",095691368133
36817,"PLUG, STOP",095691368171
36822,"BODY, CHUCK W/PINS NPT",095691368225
36827,"COLLAR, RELEASE 819",095691368270
36832,"PIN, STOP",095691368324
36837,"PIN, SPRING COMPRESSION",095691368379
36842,"PIN, STOP F/SPRING",095691368423
36847,"ROLLER, PRESSURE",095691368478
36848,"CAMERA, MICRO CA-150",095691368485
36858,"STAND, MITER SAW AC9945",095691368584
36875,"DIEHEAD, CMPL 00R 1/8 NPT",095691368751
36880,"DIEHEAD, CMPL 00R 1/4 NPT",095691368805
36885,"DIEHEAD, CMPL 00R 3/8 NPT",095691368850
36890R,"DIEHEAD, CMPL 00R 1/2 NPT",095691368904
36895,"DIEHEAD, CMPL 00R 3/4 NPT",095691368959
36900,"DIEHEAD, CMPL 00R 1"" NPT",095691369000
36913,"KIT, 12V JOBMAX R82235 LI",095691369130
36935,"DIEHEAD, CMPL 00R 1/8 HS NPT",095691369352
36940,"DIEHEAD, CMPL 00R 1/4 HS NPT",095691369406
36942,"BENDER, 310M TUBE",095691369420
36945,"DIEHEAD, CMPL 00R 3/8 HS NPT",095691369451
36947,"BENDER, 312M TUBE",095691369475
36950,"DIEHEAD, CMPL 00R 1/2 HS NPT",095691369505
36952,"BENDER, 314M TUBE",095691369529
36955,"DIEHEAD, CMPL 00R 3/4 HS NPT",095691369550
36957,"BENDER, 315M TUBE",095691369574
36960,"DIEHEAD, CMPL 00R 1"" HS NPT",095691369604
36962,"BENDER, 316M/310 TUBE",095691369628
36965,"DIEHEAD, CMPL 00R 1/8 HS NPTSS",095691369659
36967,"BENDER, 318M TUBE",095691369673
36968,"PUMP, TILE SAW WATER AC11306",095691369680
36970,"DIEHEAD, CMPL 00R 1/4 HS NPTSS",095691369703
36972,"BENDER, 312 TUBE",095691369727
36975,"DIEHEAD, CMPL 00R 3/8 HS NPTSS",095691369758
36980,"DIEHEAD, CMPL 00R 1/2 HS NPTSS",095691369802
36985,"DIEHEAD, CMPL 00R 3/4 HS NPTSS",095691369857
36990,"DIEHEAD, CMPL 00R 1"" HS NPT SS",095691369901
36995,"DIEHEAD, CMPL 00R 1/8 NPSM",095691369956
37005,"DIEHEAD, CMPL 00R 3/8 NPSM",095691370051
37010,"DIEHEAD, CMPL 00R 1/2 NPSM",095691370105
37015,"DIEHEAD, CMPL 00R 3/4 NPSM",095691370150
37020,"DIEHEAD, CMPL 00R 1"" NPSM",095691370204
37025,"DIEHEAD, CMPL 11R 1/8 NPT",095691370259
37030,"DIEHEAD, CMPL 11R 1/4 NPT",095691370303
37035,"DIEHEAD, CMPL 11R 3/8 NPT",095691370358
37040,"DIEHEAD, CMPL 11R 1/2 NPT",095691370402
37045,"DIEHEAD, CMPL 11R 3/4 NPT",095691370457
37050,"DIEHEAD, CMPL 11R 1"" NPT",095691370501
37055,"DIEHEAD, CMPL 11R 1-1/4 NPT",095691370556
37088,"CHARGER, CA-300 GLOBAL",095691370884
37093,"IMAGER, 4M CABLE & 6MM",095691370938
37095,"DIEHEAD, CMPL 11R 1/8 HS NPT",095691370952
37098,"IMAGER, 1M CABLE & 6MM",095691370983
37100,"DIEHEAD, CMPL 11R 1/4 HS NPT",095691371003
37103,"IMAGER, 17MM CABLE",095691371034
37105,"DIEHEAD, CMPL 11R 3/8 HS NPT",095691371058
37108,"EXTENSION, MICRO CA 3 FT",095691371089
37110,"DIEHEAD, CMPL 11R 1/2 HS NPT",095691371102
37113,"EXTENSION, MICRO CA 6 FT",095691371133
37115,"DIEHEAD, CMPL 11R 3/4 HS NPT",095691371157
37120,"DIEHEAD, CMPL 11R 1"" HS NPT",095691371201
37123,"PACK, MICRO CA 17MM ACCESSORY",095691371232
37125,"DIEHEAD, CMPL 11R 1-1/4 HS NPT",095691371256
37130,"DIEHEAD, CMPL 11R 1/8 HS NPTSS",095691371300
37135,"DIEHEAD, CMPL 11R 1/4 HS NPTSS",095691371355
37140,"DIEHEAD, CMPL 11R 3/8 HS NPTSS",095691371409
37143,"HOOK,CAMERA CLAMP",095691371430
37145,"DIEHEAD, CMPL 11R 1/2 HS NPTSS",095691371454
37150,"DIEHEAD, CMPL 11R 3/4 HS NPTSS",095691371508
37153,"DRUM, ONLY MREEL & MDRN 65FT",095691371539
37155R,"DIEHEAD, CMPL 11R 1"" HS NPT SS",095691371553
37158,"ASSEMBLY,MICRORL.W/ELECTRONICS",095691371584
37160R,"DIEHEAD, CMPL 11R 1-1/4HSNPTSS",095691371607
37178,"LABEL,HUB CONE",095691371782
37183,"CIRCUIT BOARD,DRUM (NON-COUNT)",095691371836
37188,"ASSEMBLY,MICROREEL COUNT PCB",095691371881
37193,"BATTERY,MICROREEL COUNTER",095691371935
37198,"KEYPAD,MICROREEL COUNTER",095691371980
37223,"FORMER, 3/8"" BENDER 90 PIPE",095691372239
37228,"FORMER, 1/2"" BENDER 90 PIPE",095691372284
37233,"FORMER, 3/4"" BENDER 90 PIPE",095691372338
37238,"FORMER, 1"" BENDER 90 PIPE",095691372383
37243,"FORMER, 1-1/4"" BENDER 90 PIPE",095691372437
37248,"FORMER, 1-1/2"" BENDER 90 PIPE",095691372482
37253,"FORMER, 2"" BENDER 90 PIPE",095691372536
37258,"FORMER, 2-1/2"" BENDER 90 PIPE",095691372581
37263,"FORMER, 3"" BENDER 90 PIPE",095691372635
37273,"SUPPORT, CORNER HB382",095691372734
37278,"SUPPORT, CORNER HB383",095691372789
37293,"PIN, FIXING 382",095691372932
37298,"PIN, FIXING 383",095691372987
37308,"PIN, LOCKING RP210",095691373083
37313,"O-RING, 4X1.5MM RP210",095691373137
37318,"BALL, STEEL 4MM RP210",095691373182
37323,"SPRING, JAW MOUNTING PIN RP210",095691373236
37328,"COVER, LOCKING PIN RP210",095691373281
37343,K-45AF-5 110V,095691373434
37353,"LATCH, PKG OF 2 PROPRESS CASE",095691373533
37373,"ASSEMBLY,MICROREEL SPRING",095691373731
37375,"DIEHEAD, CMPL 12R 1/8 NPT",095691373755
37380,"DIEHEAD, CMPL 12R 1/4 NPT",095691373809
37385,"DIEHEAD, CMPL 12R 3/8 NPT",095691373854
37388,"GROMMET,RUBBER",095691373885
37390,"DIEHEAD, CMPL 12R 1/2 NPT",095691373908
37393,"WASHER,FLAT PKG OF 4",095691373939
37395,"DIEHEAD, CMPL 12R 3/4 NPT",095691373953
37398,CLAMP,095691373984
37400,"DIEHEAD, CMPL 12R 1"" NPT",095691374004
37403,"CONNECTOR,IDC",095691374035
37405,"DIEHEAD, CMPL 12R 1-1/4 NPT",095691374059
37408,"COVER,SLIP RING",095691374080
37410,"DIEHEAD, CMPL 12R 1-1/2 NPT",095691374103
37413,"JETTER,KJ-3100 WITH HOSE REEL",095691374134
37415,"DIEHEAD, CMPL 12R 2"" NPT",095691374158
37435,"DIEHEAD, CMPL 12R 1/2 LH NPT",095691374356
37440,"DIEHEAD, CMPL 12R 3/4 NPT LH",095691374400
37445,"DIEHEAD, CMPL 12R 1"" NPT LH",095691374455
